total_income,total_expenses,income_source,food,hospitality,alcohol,tobacco,clothing,public_utilities,medical,transport,communication,education,others,special,gardening,saving,min_invest
480332,297030,Wage/Salaries,117848,3000,0,0,4607,63636,3457,4776,2880,36200,34056,7200,19370,188430,26436
198235,184888,Wage/Salaries,67766,2360,960,2132,8230,41370,3520,12900,5700,29300,9150,1500,0,16313,1790
189322,175402,Wage/Salaries,94625,6400,1040,0,4620,31122,140,6996,2100,0,8472,1000,18887,16524,1819
152883,110091,Wage/Salaries,73326,0,180,240,1930,22782,95,4044,1500,0,5394,600,0,46267,6132
171152,113258,Other sources of Income,67348,10550,0,0,2780,8370,200,7200,1800,8000,6510,500,0,70183,10400
625753,294347,Enterpreneurial Activities,158721,15620,0,0,7740,65730,1786,5160,7200,13180,15210,4000,0,342461,53593
253130,219549,Wage/Salaries,111250,3320,2080,1820,8230,16398,123,2940,5520,250,9858,5500,52260,39139,4605
171742,130467,Other sources of Income,70892,3320,0,0,5045,22920,121,1980,264,375,5310,1000,19240,45268,5825
96814,94773,Wage/Salaries,64696,2310,390,0,4905,12990,570,1560,660,200,3492,3000,0,2155,221
84330,72566,Other sources of Income,45509,0,0,0,2560,16368,85,960,0,0,3384,0,3700,13910,1656
164830,141067,Enterpreneurial Activities,76151,0,390,0,3920,38100,420,9000,1080,0,4506,2000,5500,27338,3247
217720,125122,Enterpreneurial Activities,84335,0,910,0,3370,12420,215,3300,480,0,4572,2500,13020,96291,14051
143785,131518,Wage/Salaries,63907,200,1390,0,4640,11832,160,13920,1320,0,6864,10000,17285,14620,1635
105805,88335,Other sources of Income,50424,3410,0,0,1730,17910,4229,4230,420,0,5982,0,0,20965,2581
203675,201342,Other sources of Income,108043,17800,252,0,6800,15420,2250,16200,1560,5100,6882,1500,19535,2825,287
304598,228977,Wage/Salaries,98445,15800,416,0,2240,57600,170,9120,2280,0,35406,7500,0,86696,11452
824148,383344,Wage/Salaries,99064,15200,0,3620,13420,50550,2590,27660,13494,82000,70746,5000,0,529441,92650
559202,200191,Enterpreneurial Activities,98107,11800,0,0,22830,47580,508,4560,1620,6000,4686,2500,0,381587,65738
111495,98692,Enterpreneurial Activities,59255,0,0,2715,2480,20340,440,8310,1020,0,3132,1000,0,12928,1444
977025,426290,Wage/Salaries,131485,16620,2600,0,19520,94272,1315,87120,3900,17000,43458,9000,0,694829,129144
272500,219682,Other sources of Income,95406,24150,1458,390,5410,42942,6828,7440,4332,6000,20826,4500,0,57156,7005
677321,428597,Enterpreneurial Activities,229370,35850,3210,0,18235,71280,4500,5058,3480,22500,33114,2000,0,313807,48935
350740,191821,Enterpreneurial Activities,96601,8310,0,0,8760,47136,150,10398,2280,5500,4686,8000,0,174783,26979
206490,184435,Other sources of Income,75031,2190,0,7814,10800,53112,6120,5520,1920,5150,8778,8000,0,26231,3009
740110,441555,Wage/Salaries,181926,38560,2720,0,19775,84000,1060,6720,8640,34900,60954,2300,0,357613,55894
281236,97172,Enterpreneurial Activities,56971,375,0,0,1200,27720,1800,2202,2004,0,3900,1000,0,236299,47873
100806,94052,Other sources of Income,60160,5980,0,0,1010,19338,50,1980,564,280,3690,1000,0,8592,948
410190,169412,Wage/Salaries,88966,1150,4374,832,2530,38490,6050,4680,2400,300,17640,2000,0,305433,58101
730210,394252,Wage/Salaries,172404,22050,0,7240,11150,89982,4100,22140,12000,0,48186,5000,0,381188,60379
132645,100883,Other sources of Income,51139,4120,0,0,1830,29310,100,3576,1680,100,8028,1000,0,37543,4981
301423,237745,Wage/Salaries,127743,17060,504,0,3933,33804,1150,19920,4608,11957,15066,2000,0,80245,10602
143839,125137,Other sources of Income,65989,0,648,520,4280,40074,360,4800,1380,0,5586,1500,0,20359,2348
301240,215824,Wage/Salaries,102906,16040,1534,0,3430,47028,0,12120,2700,600,27966,1500,0,98763,13552
152913,132186,Wage/Salaries,59310,0,1645,3620,2830,16500,100,3600,540,0,4206,1200,38635,22983,2678
226761,176719,Wage/Salaries,104427,9267,0,0,3125,24060,1470,15600,1800,0,13470,3500,0,51930,6425
264520,174070,Wage/Salaries,108109,700,4615,5792,3380,22674,120,5598,1680,0,18702,2700,0,107077,15715
241065,205752,Wage/Salaries,96505,6285,1105,2534,1750,31794,150,9660,3060,550,23454,2000,26905,43512,5285
239836,173788,Other sources of Income,90669,5980,2145,2265,3170,29148,0,4320,3240,300,8856,2900,20795,80305,11197
148088,114380,Wage/Salaries,78662,4120,2350,416,2970,14832,50,3720,1320,500,4440,1000,0,36747,4662
175305,156378,Wage/Salaries,84355,900,1170,4706,3150,27552,0,5340,1980,0,10140,1500,15585,23520,2729
144206,124296,Other sources of Income,72478,900,1105,6335,1650,27798,0,3540,1680,0,5310,1800,1700,21356,2473
84369,80340,Wage/Salaries,49085,0,510,2730,1570,17352,145,1380,1080,0,4788,1700,0,4785,510
121743,114181,Enterpreneurial Activities,72244,2825,585,5544,2895,16860,198,4200,600,150,7080,1000,0,8443,909
372972,297406,Wage/Salaries,164802,4230,4082,728,23220,40614,4090,12690,6000,3850,23100,10000,0,91804,11840
300324,118740,Other sources of Income,79540,0,0,0,1450,20766,380,480,0,0,14124,2000,0,200217,34612
138688,118601,Other sources of Income,62562,0,0,0,1750,20700,10583,1680,0,0,16326,5000,0,22913,2717
379622,198667,Wage/Salaries,89011,3500,0,1685,3770,36948,950,3060,1800,18000,29328,1000,9615,219441,36854
174440,143354,Wage/Salaries,92792,0,1410,1040,2290,9918,204,1500,1380,0,5370,0,27450,37422,4681
223295,163761,Other sources of Income,92989,6090,0,0,3690,27660,14900,3600,1500,6900,3432,3000,0,64344,8427
391100,169396,Other sources of Income,115092,3600,0,1810,1980,30300,3600,5400,2520,0,5094,0,0,257732,45132
160114,117834,Wage/Salaries,81805,3420,546,0,2655,11700,1100,3660,870,1500,9078,1500,0,48640,6535
145410,138879,Other sources of Income,80552,3355,468,0,4025,14322,257,3594,1800,300,7056,1000,22150,8171,872
149410,143828,Enterpreneurial Activities,108269,11495,0,0,1450,10410,4110,4500,300,0,3294,0,0,5983,624
280120,191941,Enterpreneurial Activities,125385,23725,0,0,1660,21900,1729,3000,480,10000,4062,0,0,104776,15017
298126,99903,Enterpreneurial Activities,60346,0,0,0,3775,23100,4000,3300,900,0,4482,0,0,247363,49338
485633,284838,Wage/Salaries,138744,14130,60,0,14972,31242,496,16308,5400,22050,38436,3000,0,218790,32547
136934,116662,Enterpreneurial Activities,86715,8605,0,160,1430,10620,150,1440,510,300,5232,1500,0,22477,2653
50561,30138,Other sources of Income,21156,0,0,0,400,7200,50,300,0,0,1032,0,0,22921,3444
109428,104967,Other sources of Income,54897,0,0,780,1280,8400,100,1140,582,0,3240,1000,33548,5296,559
128110,116179,Other sources of Income,66834,1865,1820,780,3770,12990,470,2028,744,300,4008,1500,19070,14552,1650
146650,144172,Wage/Salaries,77453,3245,4222,1170,5559,19260,245,6150,1608,260,6870,1200,16930,2563,261
293200,261002,Other sources of Income,116176,11890,1140,390,13605,46020,725,55008,3972,4500,5076,2500,0,38502,4439
179704,124794,Other sources of Income,78527,1695,4264,780,3706,17034,120,1920,1080,150,3588,1000,10930,63780,8956
152620,121782,Wage/Salaries,67808,5250,1040,5950,1200,13794,100,1320,1080,150,3900,1000,19190,34364,4290
105440,73068,Other sources of Income,51361,1695,0,0,2120,9282,0,720,0,360,3030,1500,3000,32726,4299
130495,118979,Wage/Salaries,71274,0,239,0,2920,18126,120,2340,1500,0,4080,1500,16880,12217,1343
77635,56854,Other sources of Income,39704,0,0,0,560,11250,680,1440,0,0,2220,1000,0,21786,2818
111570,81213,Wage/Salaries,58107,0,480,0,2350,13194,730,1080,582,0,3690,1000,0,37882,5330
121160,118799,Wage/Salaries,78639,1130,0,0,2120,25518,776,3660,660,50,4746,1500,0,2585,264
379828,166144,Wage/Salaries,92768,7380,1500,910,5049,16950,1025,6480,2100,500,31482,0,0,219669,35017
146920,98505,Other sources of Income,71753,4450,1920,0,1770,13074,0,1560,600,0,3378,0,0,57951,8457
214700,133862,Wage/Salaries,69690,10380,720,420,2660,27654,50,4992,1500,7900,7896,0,0,92497,13737
239598,145895,Enterpreneurial Activities,75131,12900,126,0,1590,31536,1224,5370,1080,9000,7938,0,0,102131,14926
69635,28593,Other sources of Income,17781,0,0,0,180,9300,300,360,0,0,672,0,0,45999,7966
116360,72629,Other sources of Income,31647,0,0,0,280,13260,150,720,60,0,1512,25000,0,49177,7226
181498,90746,Other sources of Income,61150,4120,480,0,2600,12672,60,2880,660,750,4374,1000,0,112083,19447
148690,118266,Enterpreneurial Activities,76530,4120,216,0,2670,18144,50,6000,1560,600,4476,1000,2900,31368,3818
