total_income,total_expenses,income_source,food,hospitality,alcohol,tobacco,clothing,public_utilities,medical,transport,communication,education,others,special,gardening,saving,min_invest
480332,297030,Wage/Salaries,117848,3000,0,0,4607,63636,3457,4776,2880,36200,34056,7200,19370,197112,28367
198235,184888,Wage/Salaries,67766,2360,960,2132,8230,41370,3520,12900,5700,29300,9150,1500,0,15421,1678
189322,175402,Wage/Salaries,94625,6400,1040,0,4620,31122,140,6996,2100,0,8472,1000,18887,16382,1801
152883,110091,Wage/Salaries,73326,0,180,240,1930,22782,95,4044,1500,0,5394,600,0,49333,6736
171152,113258,Other sources of Income,67348,10550,0,0,2780,8370,200,7200,1800,8000,6510,500,0,74087,11317
625753,294347,Enterpreneurial Activities,158721,15620,0,0,7740,65730,1786,5160,7200,13180,15210,4000,0,427950,78665
253130,219549,Wage/Salaries,111250,3320,2080,1820,8230,16398,123,2940,5520,250,9858,5500,52260,33750,3827
171742,130467,Other sources of Income,70892,3320,0,0,5045,22920,121,1980,264,375,5310,1000,19240,45563,5879
96814,94773,Wage/Salaries,64696,2310,390,0,4905,12990,570,1560,660,200,3492,3000,0,2416,249
84330,72566,Other sources of Income,45509,0,0,0,2560,16368,85,960,0,0,3384,0,3700,14270,1711
164830,141067,Enterpreneurial Activities,76151,0,390,0,3920,38100,420,9000,1080,0,4506,2000,5500,26154,3068
217720,125122,Enterpreneurial Activities,84335,0,910,0,3370,12420,215,3300,480,0,4572,2500,13020,99451,14801
143785,131518,Wage/Salaries,63907,200,1390,0,4640,11832,160,13920,1320,0,6864,10000,17285,15827,1796
105805,88335,Other sources of Income,50424,3410,0,0,1730,17910,4229,4230,420,0,5982,0,0,20809,2556
203675,201342,Other sources of Income,108043,17800,252,0,6800,15420,2250,16200,1560,5100,6882,1500,19535,2960,301
304598,228977,Wage/Salaries,98445,15800,416,0,2240,57600,170,9120,2280,0,35406,7500,0,93272,12724
824148,383344,Wage/Salaries,99064,15200,0,3620,13420,50550,2590,27660,13494,82000,70746,5000,0,534105,94071
559202,200191,Enterpreneurial Activities,98107,11800,0,0,22830,47580,508,4560,1620,6000,4686,2500,0,378831,64890
111495,98692,Enterpreneurial Activities,59255,0,0,2715,2480,20340,440,8310,1020,0,3132,1000,0,14936,1722
977025,426290,Wage/Salaries,131485,16620,2600,0,19520,94272,1315,87120,3900,17000,43458,9000,0,628051,108147
272500,219682,Other sources of Income,95406,24150,1458,390,5410,42942,6828,7440,4332,6000,20826,4500,0,58147,7169
677321,428597,Enterpreneurial Activities,229370,35850,3210,0,18235,71280,4500,5058,3480,22500,33114,2000,0,261502,36740
350740,191821,Enterpreneurial Activities,96601,8310,0,0,8760,47136,150,10398,2280,5500,4686,8000,0,195126,32382
206490,184435,Other sources of Income,75031,2190,0,7814,10800,53112,6120,5520,1920,5150,8778,8000,0,28401,3318
740110,441555,Wage/Salaries,181926,38560,2720,0,19775,84000,1060,6720,8640,34900,60954,2300,0,387022,63567
281236,97172,Enterpreneurial Activities,56971,375,0,0,1200,27720,1800,2202,2004,0,3900,1000,0,187434,31460
100806,94052,Other sources of Income,60160,5980,0,0,1010,19338,50,1980,564,280,3690,1000,0,8706,963
410190,169412,Wage/Salaries,88966,1150,4374,832,2530,38490,6050,4680,2400,300,17640,2000,0,303706,57516
730210,394252,Wage/Salaries,172404,22050,0,7240,11150,89982,4100,22140,12000,0,48186,5000,0,392239,63317
132645,100883,Other sources of Income,51139,4120,0,0,1830,29310,100,3576,1680,100,8028,1000,0,39506,5358
301423,237745,Wage/Salaries,127743,17060,504,0,3933,33804,1150,19920,4608,11957,15066,2000,0,64463,7842
143839,125137,Other sources of Income,65989,0,648,520,4280,40074,360,4800,1380,0,5586,1500,0,22063,2596
301240,215824,Wage/Salaries,102906,16040,1534,0,3430,47028,0,12120,2700,600,27966,1500,0,100821,13972
